Symbol,Name,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,"Aberdeen Greater China Fund, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,"Aberdeen Japan Equity Fund, Inc. ",n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADPT,Adeptus Health Inc.,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt
ADNT,Adient plc,n/a,n/a,http://www.nasdaq.com/symbol/adnt
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
APFH,"AdvancePierre Foods Holdings, Inc.",Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/apfh
ASIX,AdvanSix Inc.,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
AAV,Advantage Oil & Gas Ltd,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
AVK,Advent Claymore Convertible Securities and Income Fund,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,AECOM,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,Aegon NV,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEG,Aegon NV,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
HIVE,"Aerohive Networks, Inc.",Technology,EDP Services,http://www.nasdaq.com/symbol/hive
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
AET,Aetna Inc.,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,"AG Mortgage Investment Trust, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
AGU,Agrium Inc.,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AL,Air Lease Corporation,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
ALP^O,Alabama Power Company,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
ALR,Alere Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALR^B,Alere Inc.,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
ALEX,"Alexander & Baldwin Holdings, Inc.",Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/are^d
ARE^E,"Alexandria Real Estate Equities, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/are^e
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
AGN^A,Allergan plc.,n/a,n/a,http://www.nasdaq.com/symbol/agn^a
ALE,"Allete, Inc.",Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,n/a,n/a,http://www.nasdaq.com/symbol/akp
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,n/a,n/a,http://www.nasdaq.com/symbol/afb
AOI,"Alliance One International, Inc.",Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,n/a,n/a,http://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
LNT,Alliant Energy Corporation,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
NCV,AllianzGI Convertible & Income Fund,n/a,n/a,http://www.nasdaq.com/symbol/ncv
NCZ,AllianzGI Convertible & Income Fund II,n/a,n/a,http://www.nasdaq.com/symbol/ncz
ACV,AllianzGI Diversified Income & Convertible Fund,n/a,n/a,http://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,n/a,n/a,http://www.nasdaq.com/symbol/nie
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj
AWH,"Allied World Assurance Company Holdings, AG",Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn
