Symbol,Name,Sector,Summary Quote
RY,ROYAL BANK OF CANADA,Financials,http://finance.yahoo.com/quote/RY.TO
TD,TORONTO DOMINION,Financials,http://finance.yahoo.com/quote/TD.TO
BNS,BANK OF NOVA SCOTIA,Financials,http://finance.yahoo.com/quote/BNS.TO
SU,SUNCOR ENERGY INC.,Energy,http://finance.yahoo.com/quote/SU.TO
CNR,CANADIAN NATIONAL RAILWAY COMPANY,Industrials,http://finance.yahoo.com/quote/CNR.TO
BMO,BANK OF MONTREAL,Financials,http://finance.yahoo.com/quote/BMO.TO
ENB,ENBRIDGE INC,Energy,http://finance.yahoo.com/quote/ENB.TO
TRP,TRANSCANADA CORPORATION,Energy,http://finance.yahoo.com/quote/TRP.TO
BCE,BCE INC,Telecommunications,http://finance.yahoo.com/quote/BCE.TO
CNQ,CANADIAN NATURAL RESOURCES LIMITED,Energy,http://finance.yahoo.com/quote/CNQ.TO
MFC,MANULIFE FINANCIAL CORP,Financials,http://finance.yahoo.com/quote/MFC.TO
CM,CANADIAN IMPERIAL BANK OF COMMERCE,Financials,http://finance.yahoo.com/quote/CM.TO
BAM.A,BROOKFIELD ASSET MANAGEMENT INC CL,Financials,http://finance.yahoo.com/quote/BAM.A.TO
SLF,SUN LIFE FINANCIAL INC,Financials,http://finance.yahoo.com/quote/SLF.TO
CP,CANADIAN PACIFIC RAILWAY LTD,Industrials,http://finance.yahoo.com/quote/CP.TO
ATD.B,ALIMENTATION COUCHE TARD SUB VOTIN,Consumer Staples,http://finance.yahoo.com/quote/ATD.B.TO
T,TELUS CORP.,Telecommunications,http://finance.yahoo.com/quote/T.TO
ABX,BARRICK GOLD CORP,Materials,http://finance.yahoo.com/quote/ABX.TO
MG,MAGNA INTERNATIONAL INC.,Consumer Discretionary,http://finance.yahoo.com/quote/MG.TO
POT,POTASH CORPORATION OF SASKATCHEWAN,Materials,http://finance.yahoo.com/quote/POT.TO
RCI.B,ROGERS COMMUNICATIONS NON-VOTING I,Telecommunications,http://finance.yahoo.com/quote/RCI.B.TO
WCN,WASTE CONNECTIONS INC,Industrials,http://finance.yahoo.com/quote/WCN.TO
AGU,AGRIUM INC.,Materials,http://finance.yahoo.com/quote/AGU.TO
GIB.A,CGI GROUP INC CLASS A,Information Technology,http://finance.yahoo.com/quote/GIB.A.TO
CVE,CENOVUS ENERGY INC,Energy,http://finance.yahoo.com/quote/CVE.TO
NA,NATIONAL BANK OF CANADA,Financials,http://finance.yahoo.com/quote/NA.TO
TRI,THOMSON REUTERS CORP,Financials,http://finance.yahoo.com/quote/TRI.TO
TCK.B,TECK RESOURCES B LTD,Materials,http://finance.yahoo.com/quote/TCK.B.TO
FTS,FORTIS INC. (CANADA),Utilities,http://finance.yahoo.com/quote/FTS.TO
ECA,ENCANA,Energy,http://finance.yahoo.com/quote/ECA.TO
PPL,PEMBINA PIPELINE CORP.,Energy,http://finance.yahoo.com/quote/PPL.TO
QSR,RESTAURANTS BRANDS INTERNATIONAL I,Consumer Discretionary,http://finance.yahoo.com/quote/QSR.TO
G,GOLDCORP INC,Materials,http://finance.yahoo.com/quote/G.TO
L,LOBLAW COS. LTD.,Consumer Staples,http://finance.yahoo.com/quote/L.TO
FFH,FAIRFAX FINANCIAL HOLDINGS SUB VOT,Financials,http://finance.yahoo.com/quote/FFH.TO
FNV,FRANCO NEVADA CORP,Materials,http://finance.yahoo.com/quote/FNV.TO
IFC,INTACT FINANCIAL CORP.,Financials,http://finance.yahoo.com/quote/IFC.TO
AEM,AGNICO-EAGLE MINES LIMITED,Materials,http://finance.yahoo.com/quote/AEM.TO
CSU,CONSTELLATION SOFTWARE INC.,Information Technology,http://finance.yahoo.com/quote/CSU.TO
IMO,IMPERIAL OIL LTD.,Energy,http://finance.yahoo.com/quote/IMO.TO
FM,FIRST QUANTUM MINERALS LTD,Materials,http://finance.yahoo.com/quote/FM.TO
